parameter,location_id,location_name,country,sensor_id,expected_interval,interval_label,datetime_first_local,reaches_jan_2000
pm25,6401192,Villa Maria - Municipalidad,AR,16604682,01:00:00,hourly,2026-06-13T11:00:00-03:00,False
pm25,61754,"Richmond, CA",US,391131,00:00:05,hourly,2017-06-13T00:00:00-07:00,False
pm25,2162511,ZUBIETA,ES,7775951,01:00:00,hourly,2024-01-29T00:00:00+01:00,False
pm25,43495,开发区幼儿园,CN,237539,01:00:00,hourly,2021-01-01T01:00:00+08:00,False
pm25,921029,Vasil Levski School of Ivaylovgrad,BG,5077980,01:00:00,hourly,2023-05-08T02:58:00+03:00,False
pm25,5524247,Glenview ES,US,13929753,00:18:00,hourly,2025-08-22T10:03:14-07:00,False
pm25,4850451,"Chelsea, MA",US,13418556,01:00:00,hourly,2025-06-24T13:00:00-04:00,False
pm25,3082,Borken-Gemen,DE,1562206,01:00:00,hourly,2021-12-16T01:00:00+01:00,False
pm25,5897,GBUAPCD EBAM @ Bridg,US,16001,01:00:00,hourly,2018-07-31T13:00:00-07:00,False
pm25,1001728,AXXKFSNJ,US,2001280,00:30:00,hourly,2022-04-29T14:21:25-06:00,False
pm25,2567,Targówek,PL,5221,01:00:00,hourly,2016-01-30T02:00:00+01:00,False
pm25,233,Spokane Valley-E Bro,US,377,01:00:00,hourly,2016-03-14T13:00:00-07:00,False
pm25,2142493,Wiang Nuea Beverly Hills Hua Chang Dam,TH,7749647,01:00:00,hourly,2024-01-25T20:00:00+07:00,False
pm25,8358,DALMiNE - Via Verdi,IT,7773064,01:00:00,hourly,2024-01-29T00:00:00+01:00,False
pm25,784149,Beograd Vinča,RS,4275667,01:00:00,hourly,2023-03-30T20:00:00+02:00,False
pm25,9829,东山公园,CN,30814,01:00:00,hourly,2018-10-17T20:00:00+08:00,False
pm25,3345345,Rayong Provincial Stadium,TH,11863289,01:00:00,hourly,2025-01-01T20:00:00+07:00,False
pm25,6197932,"с. Новопавловка, ул. Школьная/ул. Крупская",KG,15138122,00:18:00,hourly,2026-01-12T11:13:27+06:00,False
pm25,3163445,colegio Bolivar,CO,11032082,01:00:00,hourly,2024-10-21T10:00:00-05:00,False
pm25,6216059,United Methodist University_Left Wing Upper (UMU_EPIC Liberia),LR,15269713,01:00:00,hourly,2026-01-26T09:00:00Z,False
pm25,595,SETRPC Mauriceville,US,5077685,01:00:00,hourly,2023-05-06T20:00:00-05:00,False
pm25,4721,NET.DE_BB,DE,11843,01:00:00,hourly,2016-11-21T15:00:00+01:00,False
pm25,9251,睦岗子站,CN,27984,01:00:00,hourly,2018-10-17T20:00:00+08:00,False
pm25,6175366,№31 orta mektep,KZ,14969384,01:00:00,hourly,2025-12-23T18:00:00+05:00,False
pm25,2097,Estación Facultad de,MX,3762,01:00:00,hourly,2016-03-10T02:00:00-06:00,False
pm25,2623016,신정동,KR,8537413,01:00:00,hourly,2024-03-20T08:00:00+09:00,False
pm25,6286020,Miri Air - Ipaja,NG,15787512,01:00:00,hourly,2026-03-01T01:00:00+01:00,False
pm25,6197960,"ж/м. Кызыл-Аскер, ул. Месароша/ул. Абдраева ",KG,15138137,00:18:00,hourly,2026-01-12T11:02:21+06:00,False
pm25,9218,监测楼,CN,27783,01:00:00,hourly,2018-10-17T20:00:00+08:00,False
pm25,3251315,"Fulshear, Texas",US,11255953,01:00:00,hourly,2024-11-10T06:00:00-06:00,False
pm25,8087,"""Õismäe""",EE,23448,01:00:00,hourly,2020-04-20T23:00:00+03:00,False
pm25,2432,Estación Centro,CL,4620,01:00:00,hourly,2016-02-05T10:00:00-03:00,False
pm25,1215819,西宮市津門川町６番２０号,JP,6516736,01:00:00,hourly,2023-07-15T02:00:00+09:00,False
pm25,2622744,경안동,KR,8535935,01:00:00,hourly,2024-03-20T08:00:00+09:00,False
pm25,2314,Nijmegen-Ruyterstraat,NL,4201,24:00:00,daily,2016-01-30T02:00:00+01:00,False
pm25,2453313,State Dept of Environmental Conservation,US,7897355,01:00:00,hourly,2024-02-20T09:00:00-05:00,False
pm25,60659,"Jawahar Nagar, Puducherry - PPCC",IN,389751,01:00:00,hourly,2021-01-12T20:30:00+05:30,False
pm25,358456,"Gulzarpet, Anantapur - APPCB",IN,2028432,01:00:00,hourly,2022-09-13T17:15:00+05:30,False
pm25,6955,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB",IN,12460304,01:00:00,hourly,2025-03-13T09:30:00+05:30,False
pm25,2163366,"""Trnava - Kollarova""",SK,7775398,01:00:00,hourly,2024-01-29T00:00:00+01:00,False
pm25,6211301,Vei 228,NO,15234555,01:00:00,hourly,2026-01-22T18:00:00+01:00,False
pm25,2907306,holmdell,US,9672099,01:00:00,hourly,2024-06-20T14:00:00-07:00,False
pm25,9548,西梁,CN,29317,01:00:00,hourly,2018-10-17T20:00:00+08:00,False
pm25,268821,outdoor2,VN,1552809,,unknown,,False
pm25,9861,丹徒区监测站,CN,31006,01:00:00,hourly,2018-10-17T20:00:00+08:00,False
pm25,10373,市职教基地,CN,34102,01:00:00,hourly,2018-10-17T20:00:00+08:00,False
pm25,2979493,Oakridge 1,US,10141008,00:18:00,hourly,2024-07-28T17:00:00-07:00,False
pm25,1456,Walla Walla-12th St,US,2581,01:00:00,hourly,2016-03-06T12:00:00-08:00,False
pm25,10455,文理学院,CN,34603,01:00:00,hourly,2018-10-17T20:00:00+08:00,False
pm25,2065634,SLC1-Bucaramanga,CO,7658328,01:00:00,hourly,2024-01-07T16:00:00-05:00,False
pm25,2960672,"24 Nansen street, Yerevan, Armenia",AM,10141012,00:18:00,hourly,2024-07-29T04:00:00+04:00,False
pm25,353742,Mukdahan Provincial Stadium,TH,2007836,24:00:00,daily,2022-07-05T10:00:00+07:00,False
pm25,9737,静安监测站,CN,30375,01:00:00,hourly,2018-10-17T20:00:00+08:00,False
pm25,7136,Lautaro,CL,20569,01:00:00,hourly,2019-06-17T01:00:00-04:00,False
pm25,2624054,석사동,KR,8578059,01:00:00,hourly,2024-03-23T09:00:00+09:00,False
pm25,2240,VINTON - Herman Horn,US,4043,01:00:00,hourly,2016-03-06T16:00:00-05:00,False
pm25,4069042,Cecil Avenue - Colocated (SJVAir),US,12799544,01:00:00,hourly,2025-04-16T13:00:00-07:00,False
pm25,225632,"Chomthong District Office, Bangkok",TH,1304130,24:00:00,daily,2021-04-30T02:00:00+07:00,False
